d50,pct30
1.0,99.99999998395745
1.3869188565300279,99.9999999847814
1.9235439145985602,99.99999998478054
2.6677993265203286,99.99999998478033
3.700021191389153,99.99999998478106
5.131629159898315,99.99999998477936
7.117153246582319,99.99999998478009
9.870914042498926,99.99999998478059
13.690156816728805,99.99999998463986
18.98713663797428,99.99999998478035
26.333617834718687,99.9999999847805
36.52259113562679,99.99999998478008
50.653870335337245,99.99999998477956
70.25280792430624,99.99999998478077
97.43494403440249,99.99999998625887
135.13436116626067,99.87158532594188
187.42039366662618,99.23546894481464
259.936878074525,97.90292207976928
360.5113577091053,95.63303109451074
499.99999999999994,92.2129557319154
